45	q
2	m
18	b
70	d
80	a
13	f
49	n
92	o
40	z
57	q
93	z
82	i
89	p
96	k
27	y
16	o
9	p
6	i
63	m
77	p
1	b
56	l
61	b
24	a
83	y
67	z
2	f
100	r
45	b
69	d
0	c
63	j
57	z
100	y
60	s
45	i
64	z
35	f
9	x
100	u
66	u
5	h
75	a
51	a
87	w
68	k
83	b
68	u
70	j
98	q
44	x
31	s
60	n
44	t
41	b
84	m
27	z
46	w
7	t
68	r
90	e
90	p
70	n
78	o
94	f
58	u
98	a
73	v
2	z
39	f
33	m
80	t
9	r
0	o
62	h
33	k
91	d
49	s
28	a
15	w
62	q
34	i
70	f
38	i
17	b
19	s
23	j
59	p
38	p
63	w
12	x
5	l
41	a
85	g
81	u
73	l
14	u
5	j
25	j
36	n
10	u
72	w
8	i
44	u
29	v
5	t
37	e
79	d
8	g
94	v
31	l
72	b
61	d
57	l
12	q
100	i
23	c
51	m
77	s
72	y
79	l
85	s
77	s
75	f
23	n
72	z
73	z
57	x
68	p
89	n
100	y
5	n
68	t
7	e
11	d
15	y
89	g
61	s
71	t
66	p
72	a
66	n
58	x
61	d
11	l
29	h
93	j
59	q
12	t
31	b
55	m
59	v
78	e
91	j
90	o
84	a
15	m
95	y
74	o
7	b
25	h
71	a
85	d
89	s
16	v
44	r
35	h
58	l
47	v
61	z
32	w
63	v
73	w
21	q
58	f
72	l
73	s
100	g
52	o
81	r
84	z
66	i
95	t
72	n
47	p
14	w
40	o
41	f
53	s
54	i
91	a
22	z
8	c
91	t
8	n
68	m
63	c
10	l
67	j
36	t
46	w
77	v
20	o
11	b
64	k
73	n
1	j
93	r
57	w
91	q
14	a
60	i
80	c
69	h
33	o
36	k
90	v
41	z
85	e
29	j
28	u
69	t
24	d
56	p
76	t
34	n
53	i
51	b
35	c
53	z
86	y
41	e
82	x
100	g
87	z
22	c
9	b
30	i
66	o
30	a
90	g
5	a
38	n
56	u
38	f
30	w
12	t
2	t
45	y
59	t
52	u
27	k
27	p
64	w
86	n
21	u
17	l
99	n
96	u
98	s
78	z
65	b
84	i
77	v
24	l
67	h
3	h
6	q
30	d
95	c
79	t
16	d
10	p
94	h
31	r
83	f
28	f
85	v
38	z
7	s
10	b
12	s
27	g
42	n
59	g
10	a
94	w
33	k
89	d
94	k
29	e
48	k
73	t
76	w
78	s
48	a
56	o
